ID,STATE,X,Y
2721,NY,-76.9784954,42.5229796
2722,NY,-79.0486258,43.1088991
2723,NY,-78.0612754,43.0544763
2724,NY,-78.2073877,43.0074475
2725,NY,-77.15061,42.6002153
2726,NY,-77.067613,42.7190862
2727,NY,-77.0154953,42.7577564
2728,NY,-78.4170975,42.7370498
2729,NY,-78.0053092,42.7476326
2730,NY,-78.0006811,42.7194317
2731,NY,-78.0413625,42.5671085
2732,NY,-78.4687595,42.842155
2734,NY,-77.4973816,43.2037542
2735,NY,-77.5441585,43.2340497
2736,NY,-77.9948279,43.3277186
2737,NY,-77.8143893,43.0555427
2738,NY,-77.4751021,43.0618575
2739,NY,-77.6430531,43.2258989
2740,NY,-78.7509846,42.8342385
2741,NY,-78.682192,42.5095936
2742,NY,-78.71362,42.8671571
2743,NY,-77.7898828,42.6185597
2744,NY,-78.9422139,42.6965055
2745,NY,-76.1473296,43.2879152
2746,NY,-76.20374,43.2735076
2747,NY,-79.0344511,42.6592847
2748,NY,-78.8203508,43.0238079
2749,NY,-77.5976775,42.6292713
2750,NY,-77.6714183,42.8138334
2751,NY,-77.8006135,42.7947663
2752,NY,-77.8550072,42.9736314
2753,NY,-75.9191857,43.9741257
2754,NY,-75.9576426,43.7666713
2755,NY,-77.4417391,43.0539397
2756,NY,-75.9576376,44.0001394
2757,NY,-76.0037873,44.2757421
2758,NY,-78.6975121,43.016253
2759,NY,-78.6850205,42.6527434
2760,NY,-78.6033459,42.9785001
2761,NY,-76.0664961,44.1386081
2762,NY,-76.1442685,44.0728303
2763,NY,-75.9841455,44.0032867
2764,NY,-76.1197095,43.7830638
2765,NY,-76.2006215,44.0812522
2766,NY,-78.671014,42.8803632
2767,NY,-78.5804109,42.8904624
2768,NY,-78.8766099,43.0174551
2769,NY,-78.7887649,42.842098
2770,NY,-78.9281074,42.9742447
2771,NY,-78.6394246,43.0102382
2772,NY,-78.9907882,42.5359107
2773,NY,-78.8299623,42.7981536
2774,NY,-78.8243293,42.7797577
2775,NY,-78.8002062,42.7395119
2776,NY,-79.0287379,42.637763
2777,NY,-76.1180865,43.9465691
2778,NY,-76.043698,44.0055402
2779,NY,-76.3356909,44.1283091
2780,NY,-78.4912173,42.9005025
2782,NY,-76.8640571,42.116767
2783,NY,-78.0754283,42.982276
2784,NY,-77.5664015,43.1260644
2786,NY,-78.3989018,43.0247805
2787,NY,-78.1862285,43.0809477
2788,NY,-78.3080978,42.996013
2789,NY,-78.387563,43.0967571
2790,NY,-78.2768298,43.0675066
2791,NY,-78.3887074,42.9037742
2792,NY,-77.5356418,43.1495782
2793,NY,-75.9116616,42.4690006
2794,NY,-76.1490035,42.7358838
2795,NY,-77.7021242,43.1690626
2797,NY,-78.7930469,42.9197301
2798,NY,-78.9406279,42.5948445
2799,NY,-78.8062966,42.9892465
2800,NY,-78.9303898,42.5387826
2801,NY,-78.6703886,42.9001249
2802,NY,-76.8451454,42.0775267
2803,NY,-76.8935693,42.0145864
2804,NY,-76.5512259,42.198559
2805,NY,-76.8092119,42.0591644
2806,NY,-76.8358055,42.2652893
2807,NY,-76.8220357,42.169204
2808,NY,-78.1350153,42.9041765
2809,NY,-77.9419766,43.089563
2810,NY,-78.8015852,42.8204601
2811,NY,-78.8695022,42.9655225
2812,NY,-78.7214002,42.9247036
2813,NY,-78.7415647,42.9356333
2814,NY,-78.9651679,43.0234709
2815,NY,-77.5160076,43.0914555
2816,NY,-78.8520514,42.9712283
2817,NY,-78.640943,42.551697
2818,NY,-78.488431,42.9447548
2819,NY,-78.917353,42.4962558
2820,NY,-78.8554499,42.4944502
2821,NY,-78.7830588,42.9453318
2822,NY,-78.6860615,42.9425684
2823,NY,-78.7381137,42.6284947
2824,NY,-78.6807385,42.7048736
2825,NY,-78.5290687,42.7684888
2826,NY,-78.6960881,43.039057
2827,NY,-78.5782869,42.7100375
2828,NY,-78.8316293,42.7398985
2829,NY,-77.4749175,43.1310808
2830,NY,-77.658703,43.2534865
2831,NY,-78.763471,42.8097991
2832,NY,-78.7693307,43.0689088
2833,NY,-78.5165254,43.001123
2834,NY,-78.4768024,42.5679747
2835,NY,-78.7018364,42.9650319
2836,NY,-77.8610418,42.9926926
2837,NY,-77.5025759,42.9905869
2838,NY,-77.5458543,43.1764026
2839,NY,-77.6491209,43.0731306
2840,NY,-77.9213336,43.3018538
2841,NY,-77.69548,43.1287579
2842,NY,-78.9364975,42.7108739
2843,NY,-78.8836693,42.7584003
2844,NY,-79.0899292,42.6266752
2845,NY,-78.6226304,42.8054004
2846,NY,-77.4065139,43.0649954
2847,NY,-77.5278351,43.1282112
2848,NY,-77.5994401,43.2193996
2849,NY,-77.7656463,43.0141206
2850,NY,-77.6433681,42.9953345
2851,NY,-77.5433495,43.2235378
2852,NY,-77.7918869,43.2855147
2853,NY,-78.788064,42.8567303
2854,NY,-78.7457499,42.9622984
2855,NY,-77.7506847,43.1038948
2856,NY,-78.7552254,42.9232275
2857,NY,-78.6712749,42.9659091
2858,NY,-78.8402579,42.7191368
2859,NY,-78.7687505,43.0246345
2860,NY,-79.0832119,42.5935399
2861,NY,-75.9667674,43.1558432
2862,NY,-77.682566,42.6173547
2863,NY,-77.8989313,42.7717795
2864,NY,-77.7694913,42.6640074
2865,NY,-77.8865784,42.8714318
2866,NY,-77.2597176,42.8120079
2867,NY,-77.2655027,42.9025303
2868,NY,-77.1553463,43.0366932
2869,NY,-77.4323123,42.8978049
2870,NY,-77.3945901,42.816542
2871,NY,-76.3283852,43.0830006
2872,NY,-77.6642869,43.2098537
2873,NY,-77.939998,43.2097567
2875,NY,-76.2174062,43.0265646
2876,NY,-76.0423383,43.197054
2877,NY,-76.1200956,42.9744828
2878,NY,-76.2723683,43.1258455
2879,NY,-76.1310307,43.1359504
2880,NY,-76.1412279,42.9771662
2881,NY,-77.5205837,43.0597209
2882,NY,-76.4422774,42.9722392
2883,NY,-76.1421013,43.0981591
2884,NY,-76.3320764,42.9776364
2885,NY,-76.4552001,43.2063122
2886,NY,-76.1291362,43.0835682
2887,NY,-76.2111067,43.1121461
2888,NY,-76.2477746,43.0998027
2889,NY,-76.072178,42.9913598
2890,NY,-76.2773777,43.0155936
2891,NY,-76.2478073,43.0441817
2892,NY,-75.9850484,42.8354535
2893,NY,-76.0704833,43.0643927
2894,NY,-78.3998516,42.2473732
2895,NY,-76.0656948,43.0344684
2896,NY,-75.9131317,42.8808423
2897,NY,-79.1696182,42.5452016
2898,NY,-79.4779297,42.3749746
2899,NY,-79.2133583,42.0594697
2900,NY,-76.210683,43.1869448
2901,NY,-76.3067508,43.0505656
2902,NY,-77.6734456,43.1177788
2903,NY,-77.5575709,43.1597228
2904,NY,-76.3380279,42.8564984
2905,NY,-76.0129068,42.901031
2906,NY,-76.4491444,43.1596476
2908,NY,-77.6318654,43.0978807
2909,NY,-77.4307986,43.211215
2910,NY,-77.5612669,43.2021033
2911,NY,-77.6587508,43.1734458
2912,NY,-77.6389606,43.1651119
2913,NY,-77.6364063,43.132818
2915,NY,-77.6108881,43.1308022
2916,NY,-77.6514431,43.1483807
2917,NY,-77.6140656,43.1815498
2918,NY,-78.1481886,43.0022852
2919,NY,-77.2173944,42.2874558
